from,to,travel_time
58,23,7
58,31,6
58,42,6
59,6,6
59,37,6
59,64,3
59,105,4
59,106,3
60,18,5
60,43,3
60,44,5
60,90,4
60,91,5
60,105,5
60,114,3
61,7,3
61,33,2
61,46,3
61,56,6
61,74,5
61,76,7
61,113,7
62,15,4
62,54,5
62,88,5
62,103,5
62,107,2
62,109,1
62,116,3
63,17,7
63,113,8
64,6,4
64,10,6
64,37,4
64,59,3
64,81,5
64,106,5
65,5,6
65,18,6
65,29,2
65,44,5
65,99,5
65,104,4
65,112,5
66,8,5
66,41,2
66,45,3
66,51,6
66,83,4
66,94,4
66,96,6
66,102,5
66,117,1
66,121,4
67,10,5
67,15,4
67,50,3
67,54,3
67,71,2
67,73,2
67,75,5
67,81,5
67,125,2
68,2,2
68,12,5
68,28,3
68,47,6
68,78,4
68,82,5
68,119,4
69,4,7
69,13,6
69,35,4
69,57,4
69,85,5
69,111,6
70,5,2
70,11,5
70,19,3
70,44,5
70,104,4
70,110,2
70,112,8
71,10,4
71,67,2
71,73,2
71,81,5
71,125,2
72,4,4
72,79,2
72,97,1
72,101,2
73,10,5
73,15,5
73,24,3
73,50,2
73,67,2
73,71,2
73,75,5
73,125,1
74,7,5
74,46,5
74,49,2
74,61,5
74,100,3
74,127,4
75,3,4
75,24,3
75,38,3
75,50,4
75,67,5
75,73,5
75,115,4
76,20,7
76,21,7
76,33,7
76,61,7
76,86,8
77,14,5
77,20,8
77,21,4
77,51,4
77,84,4
77,86,5
77,93,3
78,1,4
78,2,3
78,12,2
78,68,4
79,4,5
79,13,6
79,72,2
79,97,2
79,101,2
79,115,5
80,1,5
80,3,3
80,12,4
80,38,4
80,49,5
80,98,2
81,6,4
81,10,2
81,30,3
81,37,4
81,64,5
81,67,5
81,71,5
81,82,5
82,2,6
82,10,6
82,28,3
82,30,3
82,68,5
82,81,5
82,95,2
82,123,5
83,41,5
83,45,2
83,66,4
83,89,6
83,92,6
83,94,4
83,96,5
83,117,4
84,14,3
84,51,1
84,77,4
84,93,2
85,57,7
85,69,5
85,88,5
85,111,2
86,20,4
86,21,3
86,76,8
86,77,5
86,93,7
87,11,4
87,19,7
87,25,6
87,110,7
87,118,1
88,25,6
88,62,5
88,85,5
88,103,3
88,107,4
88,109,5
88,111,4
89,26,3
89,31,8
89,40,5
89,83,6
89,92,4
89,94,6
89,102,6
89,122,2
89,126,5
90,18,6
90,32,6
90,43,4
90,52,5
90,53,5
90,60,4
90,114,5
91,18,4
91,43,4
91,44,2
91,60,5
91,99,3
91,104,5
91,114,3
92,26,5
92,36,6
92,83,6
92,89,4
92,122,4
92,124,5
92,126,2
93,14,5
93,20,10
93,21,6
93,41,6
93,51,2
93,77,3
93,84,2
93,86,7
93,127,5
94,8,3
94,27,5
94,41,5
94,45,4
94,66,4
94,83,4
94,89,6
94,102,3
94,117,4
94,121,2
95,28,4
95,30,3
95,82,2
95,123,4
96,14,6
96,41,6
96,45,5
96,51,8
96,66,6
96,83,5
96,117,6
96,124,6
97,4,4
97,72,1
97,79,2
97,101,2
98,1,5
98,3,4
98,12,5
98,38,5
98,49,4
98,80,2
99,18,3
99,29,5
99,43,5
99,44,3
99,65,5
99,91,3
99,104,5
99,114,4
100,49,3
100,56,6
100,74,3
101,4,5
101,13,5
101,15,5
101,72,2
101,79,2
101,97,2
102,1,5
102,8,2
102,27,4
102,66,5
102,89,6
102,94,3
102,117,5
102,121,2
103,25,4
103,62,5
103,88,3
103,107,5
103,109,5
104,5,3
104,19,6
104,29,5
104,44,4
104,65,4
104,70,4
104,91,5
104,99,5
104,110,5
104,112,6
105,19,7
105,43,7
105,44,5
105,59,4
105,60,5
105,106,2
106,43,7
106,44,6
106,59,3
106,64,5
106,105,2
107,15,5
107,62,2
107,88,4
107,103,5
107,109,2
107,116,3
108,4,5
108,13,5
108,16,2
108,57,5
109,15,4
109,62,1
109,88,5
109,103,5
109,107,2
109,116,3
110,5,3
110,11,4
110,19,2
110,44,7
110,70,2
110,87,7
110,104,5
111,69,6
111,85,2
111,88,4
112,5,7
112,29,6
112,65,5
112,70,8
112,104,6
113,7,6
113,17,7
113,33,7
113,46,6
113,56,5
113,61,7
113,63,8
114,18,3
114,43,2
114,44,4
114,60,3
114,90,5
114,91,3
114,99,4
115,3,6
115,17,4
115,24,6
115,75,4
115,79,5
116,4,6
116,62,3
116,107,3
116,109,3
117,41,2
117,45,3
117,51,6
117,66,1
117,83,4
117,94,4
117,96,6
117,102,5
117,121,4
118,11,4
118,19,7
118,25,6
118,87,1
119,2,4
119,28,5
119,47,4
119,53,5
119,68,4
119,123,6
120,9,5
120,22,2
120,23,5
121,1,5
121,8,2
121,27,4
121,45,5
121,66,4
121,94,2
121,102,2
121,117,4
122,26,5
122,89,2
122,92,4
122,126,5
123,28,5
123,30,6
123,53,5
123,82,5
123,95,4
123,119,6
124,36,5
124,92,5
124,96,6
124,126,5
125,10,5
125,24,3
125,50,2
125,67,2
125,71,2
125,73,1
126,22,10
126,23,7
126,36,5
126,89,5
126,92,2
126,122,5
126,124,5
127,27,6
127,33,6
127,49,5
127,74,4
127,93,5
