from,to,travel_time
101,94,4
102,28,4
102,56,4
102,95,5
103,15,8
103,20,5
103,25,5
103,32,3
103,34,5
103,52,5
103,72,6
103,77,7
103,89,5
104,8,7
104,13,6
104,17,4
104,42,4
104,48,6
104,63,5
104,71,4
105,8,7
105,11,10
105,26,5
105,38,6
105,41,8
105,42,11
105,71,8
105,85,3
106,28,5
106,82,5
106,84,5
106,95,1
107,12,4
107,43,5
107,58,5
107,74,3
107,90,3
108,5,5
108,6,5
108,37,3
108,49,6
108,78,4
108,109,3
109,5,7
109,6,5
109,37,1
109,49,5
109,73,5
109,80,4
109,108,3
110,12,3
110,65,3
110,74,4
110,90,3
